Energy (E),Reflectivity (R),Transmissivity (T)
0.07011686143572593,0.5461470614280205,0.4538529385719795
0.08848080133555936,0.541969140420228,0.45803085957977197
0.1068447412353919,0.537842132779254,0.46215786722074603
0.12520868113522532,0.533764934090667,0.46623506590933295
0.14357262103505786,0.5297371050576568,0.4702628949423432
0.16193656093489128,0.5257408963408644,0.4742591036591356
0.1803005008347247,0.5218188627172043,0.47818113728279565
0.19866444073455725,0.517927140201129,0.48207285979887105
0.21702838063439067,0.5140801017124407,0.4859198982875593
0.2353923205342232,0.5102762268881801,0.4897237731118199
0.25375626043405664,0.5065144233845212,0.49348557661547876
0.2721202003338892,0.5027937662967957,0.49720623370320427
0.2904841402337226,0.49911338573725356,0.5008866142627464
0.308848080133556,0.49547244850363503,0.504527551496365
0.32721202003338856,0.49187015348799057,0.5081298465120094
0.345575959933222,0.4883057294678278,0.5116942705321722
0.3639398998330545,0.484778433528248,0.515221566471752
0.38230383973288795,0.4812875501799212,0.5187124498200788
0.4006677796327214,0.4778323930455573,0.5221676069544428
0.4190317195325539,0.4744123193520013,0.5255876806479987
0.43739565943238734,0.4710268110206782,0.5289731889793218
0.4557595993322199,0.4676753957339844,0.5323246042660156
0.4741235392320533,0.4643485449130566,0.5356514550869433
0.49248747913188584,0.4610699764925032,0.5389300235074967
0.5108514190317193,0.45781596749539505,0.542184032504605
0.5292153589315527,0.454593289032536,0.5454067109674641
0.5475792988313852,0.4514017137561545,0.5485982862438454
0.5659432387312187,0.44824061649226227,0.5517593835077377
0.5843071786310512,0.44510947989435345,0.5548905201056465
0.6026711185308846,0.44200781891359847,0.5579921810864015
0.621035058430718,0.4389351653004313,0.5610648346995687
0.6393989983305506,0.43589106435100017,0.5641089356489999
0.657762938230384,0.43287507390417274,0.5671249260958273
0.6761268781302165,0.4298867638661468,0.5701132361338532
0.69449081803005,0.4269257162652998,0.5730742837347003
0.7128547579298825,0.42399152731197554,0.5760084726880245
0.7312186978297159,0.4210838185362649,0.5789161814637351
0.7495826377295494,0.4182022812224574,0.5817977187775426
0.7679465776293819,0.4153464175869489,0.5846535824130511
0.7863105175292153,0.41251075121779596,0.5874892487822041
0.8046744574290479,0.4097092775066921,0.5902907224933078
0.8230383973288813,0.40692895794983114,0.5930710420501688
0.8414023372287147,0.40417216808837336,0.5958278319116266
0.8597662771285473,0.4014394075126229,0.5985605924873771
0.8781302170283807,0.39873029205100446,0.6012697079489955
0.8964941569282132,0.39604448890377475,0.6039555110962253
0.9148580968280466,0.3933816868610653,0.6066183131389347
0.9332220367278792,0.390741584205664,0.6092584157943359
0.9515859766277126,0.3881238860737383,0.6118761139262616
0.969949916527546,0.38552830382876524,0.6144716961712348
0.9883138564273786,0.3829545549007163,0.6170454450992837
1.006677796327212,0.38040236304177594,0.6195976369582241
1.0250417362270454,0.3778714600814181,0.6221285399185819
1.043405676126877,0.37536159359459326,0.6246384064054067
1.0617696160267105,0.37287254592603264,0.6271274540739673
1.080133555926544,0.3704038464783693,0.6295961535216307
1.0984974958263773,0.3679521872705524,0.6320478127294475
1.1168614357262108,0.36552611462303114,0.6344738853769689
1.1352253756260424,0.3631186370029827,0.6368813629970174
1.1535893155258758,0.3607296619416139,0.6392703380583862
1.1719532554257093,0.35836001151392854,0.6416399884860715
1.1903171953255427,0.3560094585756717,0.6439905414243283
1.2086811352253761,0.3536777716175933,0.6463222283824067
1.2270450751252078,0.3513647326558037,0.6486352673441963
1.2454090150250412,0.34907012960604794,0.6509298703939521
1.2637729549248746,0.3467937542360179,0.6532062457639821
1.282136894824708,0.34453540173148484,0.6554645982685152
1.3005008347245415,0.3422948706499005,0.6577051293500995
1.3188647746243731,0.34007196318607347,0.6599280368139265
1.3372287145242066,0.33786648648746,0.66213351351254
1.35559265442404,0.3356782573856754,0.6643217426143246
1.3739565943238734,0.33350710536857114,0.6664928946314288
1.392320534223705,0.33135261449803444,0.6686473855019656
1.4106844741235385,0.32921270554462645,0.6707872944553736
1.429048414023372,0.3270927190326612,0.6729072809673389
1.4474123539232053,0.32498913712811883,0.6750108628718812
1.4657762938230388,0.3229006236564851,0.6770993763435149
1.4841402337228704,0.32082804715592117,0.6791719528440788
1.5025041736227038,0.3187712949267181,0.6812287050732819
1.5208681135225373,0.31673019964690274,0.6832698003530973
1.5392320534223707,0.3147045998617336,0.6852954001382664
1.557595993322204,0.31269433769034194,0.6873056623096581
1.5759599332220358,0.3106992574930347,0.6893007425069653
1.5943238731218692,0.3087192055952917,0.6912807944047084
1.6126878130217026,0.30675403029647796,0.693245969703522
1.631051752921536,0.30480358209094155,0.6951964179090584
1.6494156928213695,0.3028677145573906,0.6971322854426094
1.667779632721201,0.30094628681740504,0.6990537131825949
1.6861435726210345,0.29903915728139746,0.7009608427186025
1.704507512520868,0.2971459720978442,0.7028540279021558
1.7228714524207014,0.29526537976917017,0.7047346202308298
1.7412353923205348,0.2934007758898058,0.7065992241101942
1.7595993322203665,0.2915506137733772,0.7084493862266228
1.7779632721202,0.28971306923561574,0.7102869307643842
1.7963272120200333,0.2878888936430217,0.7121111063569783
1.8146911519198667,0.2860780591741228,0.7139219408258772
1.8330550918196984,0.28428044372763683,0.7157195562723632
1.8514190317195318,0.2824959234287684,0.7175040765712316
1.8697829716193652,0.2807243761021926,0.7192756238978074
1.8881469115191987,0.2789656807964655,0.7210343192035344
1.906510851419032,0.27721971767515885,0.7227802823248412
1.9248747913188637,0.2754863680642765,0.7245136319357235
1.9432387312186972,0.27376551461803905,0.7262344853819609
1.9616026711185306,0.27205704184407314,0.7279429581559269
1.979966611018364,0.2703608369131145,0.7296391630868855
1.9983305509181974,0.26867677877720797,0.731323221222792
2.016694490818029,0.267004572743548,0.7329954272564521
2.0350584307178625,0.2653433142466265,0.7346566857533735
2.053422370617696,0.2636951931504289,0.7363048068495711
2.0717863105175294,0.2620597455787697,0.7379402544212303
2.090150250417363,0.2604350955059365,0.7395649044940635
2.1085141903171944,0.25882180078463096,0.741178199215369
2.126878130217028,0.25721989339825285,0.7427801066017472
2.1452420701168613,0.25562928544355296,0.7443707145564471
2.1636060100166947,0.2540498798421634,0.7459501201578367
2.181969949916528,0.2524815794996598,0.7475184205003402
2.20033388981636,0.2509242878034669,0.749075712196533
2.2186978297161932,0.24937790870303628,0.7506220912969637
2.2370617696160267,0.24784234679499106,0.7521576532050089
2.25542570951586,0.24631750743895267,0.7536824925610474
2.2737896494156917,0.24480329699313091,0.7551967030068691
2.292153589315525,0.24329962249985188,0.7567003775001482
2.3105175292153586,0.24180637907884203,0.7581936209211579
2.328881469115192,0.24032332406492188,0.7596766759350781
2.3472454090150254,0.23884983602216214,0.7611501639778379
2.365609348914857,0.2373873446288254,0.7626126553711746
2.3839732888146905,0.23593594740895418,0.7640640525910458
2.402337228714524,0.23449394264966408,0.7655060573503359
2.4207011686143574,0.23306167813513556,0.7669383218648644
2.439065108514191,0.2316392231145027,0.7683607768854973
2.4574290484140224,0.23022651656198787,0.7697734834380121
2.475792988313856,0.22882348154859175,0.7711765184514082
2.4941569282136893,0.22743003948167068,0.7725699605183294
2.5125208681135227,0.22604611164440883,0.7739538883555912
2.530884808013356,0.2246716194881047,0.7753283805118953
2.549248747913188,0.2233064847598637,0.7766935152401363
2.567612687813021,0.2219506295798216,0.7780493704201784
2.5859766277128546,0.22060397645972438,0.7793960235402756
2.604340567612688,0.21926644727649008,0.78073355272351
2.6227045075125197,0.21793795065296687,0.7820620493470332
2.641068447412353,0.21661828780325376,0.7833817121967462
2.6594323873121866,0.2153070216053103,0.7846929783946897
2.67779632721202,0.21400509555128386,0.7859949044487161
