Energy (E),Reflectivity (R),Transmittance (T),Energy_tilde (Etilde)
-3.664440734557596,1.4126577211167022,-0.4126577211167022,9.926968407737629
-3.6460767946577635,1.4080409921859296,-0.4080409921859296,9.94533234763746
-3.62771285475793,1.4033464516192393,-0.4033464516192393,9.963696287537296
-3.6093489148580966,1.3985721739343944,-0.39857217393439437,9.982060227437128
-3.590984974958264,1.3937161604078883,-0.39371616040788826,10.000424167336961
-3.5726210350584306,1.3887763199485328,-0.3887763199485328,10.018788107236794
-3.554257095158598,1.3837504579525448,-0.3837504579525448,10.037152047136626
-3.5358931552587647,1.3786362661386442,-0.3786362661386442,10.055515987036461
-3.517529215358932,1.3734312505441135,-0.3734312505441135,10.073879926936293
-3.4991652754590987,1.368131652420361,-0.36813165242036106,10.092243866836126
-3.4808013355592653,1.3627520828833335,-0.3627520828833335,10.11060780673596
-3.4624373956594328,1.35724157747717,-0.35724157747717,10.128971746635791
-3.4440734557595993,1.3516512522975845,-0.35165125229758454,10.147335686535627
-3.425709515859767,1.3459517950621014,-0.3459517950621014,10.165699626435458
-3.4073455759599334,1.3401438533392596,-0.34014385333925956,10.184063566335292
-3.3889816360601,1.3342238695260713,-0.3342238695260713,10.202427506235125
-3.3706176961602674,1.3281880548910476,-0.32818805489104763,10.220791446134957
-3.352253756260434,1.322032242147916,-0.32203224214791604,10.239155386034792
-3.3338898163606014,1.3157520252053871,-0.31575202520538714,10.257519325934624
-3.315525876460768,1.3093424837191927,-0.3093424837191927,10.275883265834457
-3.2971619365609355,1.3027982050383873,-0.3027982050383873,10.29424720573429
-3.278797996661102,1.2961135954588052,-0.2961135954588052,10.312611145634122
-3.2604340567612686,1.2892825506833179,-0.2892825506833179,10.330975085533957
-3.242070116861436,1.282298745852249,-0.282298745852249,10.349339025433789
-3.2237061769616027,1.275150782819997,-0.27515078281999705,10.367702965333622
-3.20534223706177,1.267835076684544,-0.2678350766845441,10.386066905233456
-3.1869782971619367,1.26032803896178,-0.2603280389617799,10.404430845133287
